Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
atmosmodd.mtx,static,2,1,24.250729999999997,0.8325787,0.9444573421088769,47.22286710544385
atmosmodd.mtx,static,2,4,23.15452,0.9130851999999999,0.9891710128303243,49.45855064151621
atmosmodd.mtx,static,2,16,22.61601,0.8806092,1.012724171947218,50.6362085973609
atmosmodd.mtx,static,2,64,19.08323,1.079892,1.20020457752697,60.010228876348506
atmosmodd.mtx,static,2,256,16.04415,1.304595,1.4275471121873085,71.37735560936542
atmosmodd.mtx,static,2,1024,15.19182,1.469604,1.5076389793981235,75.38194896990618
atmosmodd.mtx,dynamic,2,1,173.5413,0.1062226,0.1319788430765472,6.59894215382736
atmosmodd.mtx,dynamic,2,4,68.41775,0.2787147,0.3347637126330521,16.738185631652605
atmosmodd.mtx,dynamic,2,16,30.97966,0.6087789,0.7393167000541646,36.96583500270823
atmosmodd.mtx,dynamic,2,64,19.857000000000003,0.9875906999999999,1.1534360678853803,57.67180339426902
atmosmodd.mtx,dynamic,2,256,14.56336,1.42499,1.5726988826754267,78.63494413377133
atmosmodd.mtx,dynamic,2,1024,13.27981,1.625073,1.7247069046921606,86.23534523460803
atmosmodd.mtx,guided,2,1,14.76744,1.639686,1.5509648253184032,77.54824126592015
atmosmodd.mtx,guided,2,4,14.72219,1.592951,1.5557318578282173,77.78659289141086
atmosmodd.mtx,guided,2,16,14.17251,1.621484,1.6160708300787934,80.80354150393967
atmosmodd.mtx,guided,2,64,14.22344,1.59894,1.610284150669599,80.51420753347995
atmosmodd.mtx,guided,2,256,14.11392,1.614597,1.6227794971205731,81.13897485602865
atmosmodd.mtx,guided,2,1024,14.381920000000001,1.575095,1.5925397999710749,79.62698999855374
atmosmodd.mtx,static,4,1,27.58454,0.7179054,0.8303121966144804,20.75780491536201
atmosmodd.mtx,static,4,4,26.281779999999998,0.7769077,0.8714698928306988,21.786747320767468
atmosmodd.mtx,static,4,16,20.12399,1.009145,1.1381331435763982,28.453328589409953
atmosmodd.mtx,static,4,64,15.07906,1.461369,1.5189129826395014,37.97282456598754
atmosmodd.mtx,static,4,256,11.88081,2.031339,1.927796168779738,48.19490421949345
atmosmodd.mtx,static,4,1024,10.1318,2.425342,2.260583509346809,56.51458773367023
atmosmodd.mtx,dynamic,4,1,237.6706,0.07722322,0.09636774594754252,2.409193648688563
