MatrixName,MPI_Procs,NNZ_min,NNZ_max,NNZ_avg,CommVol_min,CommVol_max,CommVol_avg
atmosmodd_bin,1,8814880,8814880,8814880.00,0,0,0.00
atmosmodd_bin,2,4407440,4407440,4407440.00,43808,43808,43808.00
atmosmodd_bin,4,2192768,2214672,2203720.00,43808,87616,65712.00
atmosmodd_bin,8,1085358,1107410,1101860.00,43808,87616,76664.00
atmosmodd_bin,16,531801,553853,550930.00,43808,87616,82140.00
atmosmodd_bin,32,255022,277075,275465.00,43808,87616,84878.00
atmosmodd_bin,64,118683,138689,137732.50,39996,79996,78607.53
atmosmodd_bin,128,59267,69348,68866.25,20146,40296,39599.77
circuit5M_bin,1,59524291,59524291,59524291.00,0,0,0.00
circuit5M_bin,2,13895531,45628760,29762145.50,2971207,2971207,2971207.00
circuit5M_bin,4,6947637,38680871,14881072.75,1479020,4450246,2225123.00
circuit5M_bin,8,3473682,35206916,7440536.38,739510,5189816,1297454.00
circuit5M_bin,16,1736707,23209933,3720268.19,717152,5840754,1340935.75
circuit5M_bin,32,868217,17229373,1860134.09,358587,5721970,865122.56
circuit5M_bin,64,433972,14189658,930067.05,179774,5643796,481862.97
circuit5M_bin,128,216852,12669694,465033.52,90212,5564361,253139.81
memchip_bin,1,14810202,14810202,14810202.00,0,0,0.00
memchip_bin,2,5998824,8811378,7405101.00,2177287,2177287,2177287.00
memchip_bin,4,2994810,4883367,3702550.50,1091133,2153081,1429988.50
memchip_bin,8,1287017,2650050,1851275.25,545307,1227635,796776.25
memchip_bin,16,551201,1327313,925637.62,272975,647265,410583.62
memchip_bin,32,249427,665868,462818.81,135581,351218,212289.94
memchip_bin,64,124686,337005,231409.41,67895,192435,112912.97
memchip_bin,128,61357,172033,115704.70,32598,126591,62613.16
poisson3Db_bin,1,2374949,2374949,2374949.00,0,0,0.00
poisson3Db_bin,2,977108,1397841,1187474.50,85423,85423,85423.00
poisson3Db_bin,4,487916,900626,593737.25,67761,122772,96302.00
poisson3Db_bin,8,236268,664358,296868.62,65724,136297,99352.00
poisson3Db_bin,16,114815,376425,148434.31,62714,126858,83828.00
poisson3Db_bin,32,52408,192092,74217.16,43931,112980,60416.56
poisson3Db_bin,64,25708,97077,37108.58,20346,88620,38636.03
poisson3Db_bin,128,10453,49612,18554.29,7572,57738,22563.45
rajat29_bin,1,4866270,4866270,4866270.00,0,0,0.00
rajat29_bin,2,1999198,2867072,2433135.00,230893,230893,230893.00
rajat29_bin,4,980209,1879051,1216567.50,67893,390458,197546.50
rajat29_bin,8,385622,1385801,608283.75,57513,471702,133417.25
rajat29_bin,16,166580,1133333,304141.88,31262,512950,74561.50
rajat29_bin,32,67775,997410,152070.94,20913,531214,40634.50
rajat29_bin,64,26324,935367,76035.47,10247,543362,22590.22
rajat29_bin,128,12479,902563,38017.73,4979,549418,12339.17
torso1_bin,1,8516500,8516500,8516500.00,0,0,0.00
torso1_bin,2,4101229,4415271,4258250.00,10320,10320,10320.00
torso1_bin,4,1580216,2835046,2129125.00,8765,12544,10749.00
torso1_bin,8,722790,1595692,1064562.50,6143,13287,9576.50
torso1_bin,16,276850,831430,532281.25,5490,14559,9325.12
torso1_bin,32,32670,654175,266140.62,496,10914,6957.62
torso1_bin,64,16326,637840,133070.31,376,10802,3611.12
torso1_bin,128,8163,629677,66535.16,320,11136,1988.62
