MatrixName,MPI_Procs,Time_P90_ms,Time_Comm_ms,Time_Comp_ms,GFLOPS
atmosmodd_bin,1,12.7651,0.000116,12.765,1.38109
atmosmodd_bin,2,6.16685,0.108895,6.07282,2.8588
atmosmodd_bin,4,3.60084,0.220354,3.40444,4.89601
atmosmodd_bin,8,2.49864,0.257137,2.24897,7.05575
atmosmodd_bin,16,2.23858,0.338796,1.923,7.87544
atmosmodd_bin,32,1.91668,0.481659,1.46255,9.19806
atmosmodd_bin,64,1.06347,0.562316,0.591459,16.5776
atmosmodd_bin,128,1.1804,1.08229,0.351242,14.9354
circuit5M_bin,1,92.8164,0.000277,92.8163,1.28262
circuit5M_bin,2,79.7462,12.9904,66.8527,1.49284
circuit5M_bin,4,77.4527,17.0156,60.4568,1.53705
circuit5M_bin,8,74.5906,20.2598,54.3307,1.59603
circuit5M_bin,16,63.2567,26.5122,36.7682,1.88199
circuit5M_bin,32,61.9756,29.2647,32.1346,1.92089
circuit5M_bin,64,62.0083,35.7569,26.3289,1.91988
circuit5M_bin,128,87.0611,63.4959,23.5066,1.36741
memchip_bin,1,23.4518,0.000109,23.4517,1.26303
memchip_bin,2,25.0193,7.11799,17.9355,1.1839
memchip_bin,4,15.8594,7.41526,8.48955,1.86769
memchip_bin,8,15.0445,9.6801,6.09433,1.96886
memchip_bin,16,7.83935,4.52108,3.67124,3.77843
memchip_bin,32,8.65773,6.16535,4.17753,3.42127
memchip_bin,64,3.87883,2.52289,1.66063,7.63642
memchip_bin,128,10.3025,9.93943,0.649325,2.87508
poisson3Db_bin,1,3.98217,0.00011,3.98203,1.19279
poisson3Db_bin,2,1.98775,0.142341,1.85095,2.38958
poisson3Db_bin,4,1.42464,0.219507,1.20931,3.3341
poisson3Db_bin,8,1.34299,0.338659,1.0043,3.53681
poisson3Db_bin,16,1.01716,0.409928,0.621031,4.66976
poisson3Db_bin,32,1.13076,0.839172,0.313716,4.20064
poisson3Db_bin,64,1.75472,1.63282,0.133114,2.70692
poisson3Db_bin,128,3.48934,3.44548,0.086318,1.36126
rajat29_bin,1,7.55718,4.8e-05,7.55712,1.28785
rajat29_bin,2,4.38967,0.629635,3.78401,2.21714
rajat29_bin,4,3.40771,0.802509,2.61872,2.85604
rajat29_bin,8,2.91161,1.03985,1.87732,3.34266
rajat29_bin,16,3.17383,1.49968,1.68299,3.0665
rajat29_bin,32,3.31227,1.67029,1.65031,2.93833
rajat29_bin,64,3.26403,1.79344,1.47056,2.98175
rajat29_bin,128,4.84845,3.4828,1.36562,2.00735
torso1_bin,1,11.5778,5.7e-05,11.5777,1.47118
torso1_bin,2,5.53432,0.037024,5.50933,3.0777
torso1_bin,4,3.88993,0.045892,3.84551,4.37874
torso1_bin,8,3.02624,0.070338,2.96432,5.62844
torso1_bin,16,2.03014,0.134574,1.9578,8.39005
torso1_bin,32,1.85793,0.251661,1.75296,9.16772
torso1_bin,64,1.08904,0.294934,0.867277,15.6404
torso1_bin,128,1.42253,0.472256,1.07429,11.9737
